time,pin_voltage,current
2020-03-16 12:53:22.678948, 1581.806, 359
2020-03-16 12:53:23.140274, 1582.524, 363
2020-03-16 12:53:23.601682, 1581.716, 359
2020-03-16 12:53:24.062873, 1582.376, 362
2020-03-16 12:53:24.524237, 1582.324, 362
2020-03-16 12:53:24.985397, 1581.61, 358
2020-03-16 12:53:25.446482, 1589.068, 395
2020-03-16 12:53:25.907655, 1582.362, 362
2020-03-16 12:53:26.368914, 1582.65, 363
2020-03-16 12:53:26.829815, 1588.264, 391
2020-03-16 12:53:27.290468, 1595.772, 429
2020-03-16 12:53:27.751320, 1593.204, 416
2020-03-16 12:53:28.212676, 1590.276, 401
2020-03-16 12:53:28.673951, 1581.766, 359
2020-03-16 12:53:29.135216, 1582.364, 362
