time,pin_voltage,current
2020-03-04 10:03:21.268141, 1588.232, 391
2020-03-04 10:03:21.728355, 1588.342, 392
2020-03-04 10:03:22.188441, 1588.744, 394
2020-03-04 10:03:22.648453, 1588.568, 393
2020-03-04 10:03:23.108457, 1588.11, 391
2020-03-04 10:03:23.568524, 1588.742, 394
2020-03-04 10:03:24.028539, 1588.552, 393
2020-03-04 10:03:24.488599, 1588.642, 393
2020-03-04 10:03:24.948647, 1588.53, 393
2020-03-04 10:03:25.408691, 1588.428, 392
2020-03-04 10:03:25.868728, 1588.85, 394
2020-03-04 10:03:26.328813, 1588.816, 394
2020-03-04 10:03:26.788851, 1588.424, 392
2020-03-04 10:03:27.248786, 1588.216, 391
2020-03-04 10:03:27.708911, 1605.508, 478
2020-03-04 10:03:28.168975, 1614.526, 523
2020-03-04 10:03:28.629038, 1617.95, 540
2020-03-04 10:03:29.089009, 1616.96, 535
2020-03-04 10:03:29.549177, 1617.648, 538
2020-03-04 10:03:30.009251, 1618.402, 542
2020-03-04 10:03:30.469308, 1615.638, 528
2020-03-04 10:03:30.929372, 1617.576, 538
2020-03-04 10:03:31.389256, 1604.912, 475
2020-03-04 10:03:31.849250, 1616.96, 535
2020-03-04 10:03:32.309288, 1609.356, 497
2020-03-04 10:03:32.769335, 1613.976, 520
2020-03-04 10:03:33.229438, 1611.442, 507
2020-03-04 10:03:33.689445, 1611.642, 508
2020-03-04 10:03:34.149519, 1615.438, 527
2020-03-04 10:03:34.609564, 1606.808, 484
2020-03-04 10:03:35.069616, 1618.402, 542
2020-03-04 10:03:35.529584, 1609.216, 496
2020-03-04 10:03:35.989675, 1614.882, 524
2020-03-04 10:03:36.449708, 1610.576, 503
2020-03-04 10:03:36.909671, 1612.676, 513
2020-03-04 10:03:37.369706, 1612.294, 511
2020-03-04 10:03:37.829709, 1610.274, 501
2020-03-04 10:03:38.289715, 1617.426, 537
2020-03-04 10:03:38.749454, 1607.364, 487
2020-03-04 10:03:39.208938, 1615.416, 527
2020-03-04 10:03:39.668719, 1610.256, 501
2020-03-04 10:03:40.128788, 1612.652, 513
2020-03-04 10:03:40.588822, 1610.72, 504
2020-03-04 10:03:41.048790, 1612.454, 512
2020-03-04 10:03:41.508792, 1619.56, 548
2020-03-04 10:03:41.968847, 1606.818, 484
2020-03-04 10:03:42.428795, 1619.362, 547
2020-03-04 10:03:42.888898, 1608.988, 495
2020-03-04 10:03:43.348836, 1616.096, 530
2020-03-04 10:03:43.808829, 1611.084, 505
2020-03-04 10:03:44.268938, 1612.896, 514
2020-03-04 10:03:44.728925, 1612.234, 511
2020-03-04 10:03:45.188853, 1608.886, 494
2020-03-04 10:03:45.648868, 1619.514, 548
2020-03-04 10:03:46.108844, 1606.48, 482
2020-03-04 10:03:46.568861, 1616.744, 534
2020-03-04 10:03:47.028839, 1610.312, 502
2020-03-04 10:03:47.488879, 1612.96, 515
2020-03-04 10:03:47.948914, 1611.226, 506
2020-03-04 10:03:48.408990, 1610.946, 505
2020-03-04 10:03:48.869090, 1614.506, 523
2020-03-04 10:03:49.329212, 1588.792, 394
2020-03-04 10:03:49.789280, 1589.172, 396
2020-03-04 10:03:50.249361, 1588.708, 394
2020-03-04 10:03:50.709288, 1588.16, 391
2020-03-04 10:03:51.169327, 1589.028, 395
2020-03-04 10:03:51.629348, 1589.012, 395
2020-03-04 10:03:52.089393, 1588.68, 393
2020-03-04 10:03:52.549375, 1588.278, 391
2020-03-04 10:03:53.009414, 1588.646, 393
2020-03-04 10:03:53.469469, 1588.368, 392
2020-03-04 10:03:53.929379, 1588.338, 392
2020-03-04 10:03:54.389389, 1588.818, 394
2020-03-04 10:03:54.849436, 1588.59, 393
2020-03-04 10:03:55.309547, 1588.396, 392
2020-03-04 10:03:55.769578, 1588.4, 392
2020-03-04 10:03:56.229661, 1588.868, 394
2020-03-04 10:03:56.689699, 1588.152, 391
2020-03-04 10:03:57.149738, 1588.732, 394
2020-03-04 10:03:57.609758, 1588.564, 393
2020-03-04 10:03:58.069808, 1588.46, 392
2020-03-04 10:03:58.529852, 1588.47, 392
2020-03-04 10:03:58.989820, 1588.218, 391
2020-03-04 10:03:59.449896, 1588.336, 392
2020-03-04 10:03:59.909825, 1588.466, 392
2020-03-04 10:04:00.369856, 1588.734, 394
2020-03-04 10:04:00.829907, 1588.376, 392
2020-03-04 10:04:01.289921, 1589.196, 396
2020-03-04 10:04:01.749867, 1588.392, 392
2020-03-04 10:04:02.209808, 1588.658, 393
2020-03-04 10:04:02.669885, 1588.322, 392
2020-03-04 10:04:03.129847, 1588.44, 392
2020-03-04 10:04:03.589847, 1588.224, 391
2020-03-04 10:04:04.049789, 1588.226, 391
2020-03-04 10:04:04.509741, 1588.876, 394
2020-03-04 10:04:04.969896, 1588.196, 391
2020-03-04 10:04:05.429862, 1588.178, 391
2020-03-04 10:04:05.889850, 1588.656, 393
2020-03-04 10:04:06.349813, 1587.896, 389
2020-03-04 10:04:06.809837, 1588.812, 394
2020-03-04 10:04:07.269861, 1588.67, 393
2020-03-04 10:04:07.729903, 1589.024, 395
