time,pin_voltage,current
2020-03-17 14:52:05.669477, 1581.73, 359
2020-03-17 14:52:06.129381, 1581.402, 357
2020-03-17 14:52:06.589439, 1581.936, 360
2020-03-17 14:52:07.049269, 1581.424, 357
2020-03-17 14:52:07.509242, 1581.996, 360
2020-03-17 14:52:07.969121, 1586.672, 383
2020-03-17 14:52:08.428900, 1592.878, 414
2020-03-17 14:52:08.888686, 1595.124, 426
2020-03-17 14:52:09.348349, 1598.666, 443
2020-03-17 14:52:09.808175, 1602.784, 464
2020-03-17 14:52:10.268029, 1594.512, 423
2020-03-17 14:52:10.727709, 1599.25, 446
2020-03-17 14:52:11.187603, 1601.97, 460
2020-03-17 14:52:11.647567, 1597.938, 440
2020-03-17 14:52:12.107229, 1603.19, 466
2020-03-17 14:52:12.566834, 1594.34, 422
2020-03-17 14:52:13.026721, 1599.368, 447
2020-03-17 14:52:13.486504, 1603.184, 466
2020-03-17 14:52:13.946263, 1597.318, 437
2020-03-17 14:52:14.405908, 1603.02, 465
2020-03-17 14:52:14.865611, 1601.364, 457
2020-03-17 14:52:15.325368, 1599.706, 449
2020-03-17 14:52:15.785081, 1597.052, 435
2020-03-17 14:52:16.245415, 1597.28, 436
2020-03-17 14:52:16.705387, 1602.302, 462
2020-03-17 14:52:17.165109, 1599.984, 450
2020-03-17 14:52:17.625014, 1600.876, 454
2020-03-17 14:52:18.084929, 1600.618, 453
2020-03-17 14:52:18.544737, 1600.856, 454
2020-03-17 14:52:19.004589, 1599.94, 450
2020-03-17 14:52:19.464277, 1599.088, 445
2020-03-17 14:52:19.924112, 1601.396, 457
2020-03-17 14:52:20.383816, 1599.358, 447
2020-03-17 14:52:20.843742, 1600.862, 454
2020-03-17 14:52:21.306530, 1594.892, 424
2020-03-17 14:52:21.769515, 1599.516, 448
2020-03-17 14:52:22.232128, 1601.68, 458
2020-03-17 14:52:22.694454, 1599.84, 449
2020-03-17 14:52:23.156378, 1603.098, 465
2020-03-17 14:52:23.618056, 1598.358, 442
2020-03-17 14:52:24.079698, 1602.156, 461
2020-03-17 14:52:24.541332, 1600.074, 450
2020-03-17 14:52:25.003148, 1600.402, 452
2020-03-17 14:52:25.465425, 1600.394, 452
2020-03-17 14:52:25.927719, 1599.632, 448
2020-03-17 14:52:26.389658, 1600.524, 453
2020-03-17 14:52:26.851796, 1600.048, 450
2020-03-17 14:52:27.313682, 1601.134, 456
2020-03-17 14:52:27.775630, 1599.386, 447
2020-03-17 14:52:28.237514, 1602.0, 460
2020-03-17 14:52:28.699305, 1595.55, 428
2020-03-17 14:52:29.161184, 1600.01, 450
2020-03-17 14:52:29.623534, 1602.114, 461
2020-03-17 14:52:30.085877, 1598.944, 445
2020-03-17 14:52:30.548205, 1602.682, 463
2020-03-17 14:52:31.010387, 1597.052, 435
2020-03-17 14:52:31.472402, 1602.392, 462
2020-03-17 14:52:31.934329, 1598.81, 444
2020-03-17 14:52:32.396212, 1600.562, 453
2020-03-17 14:52:32.858056, 1600.856, 454
2020-03-17 14:52:33.319992, 1599.438, 447
2020-03-17 14:52:33.782161, 1599.998, 450
2020-03-17 14:52:34.244497, 1599.678, 448
2020-03-17 14:52:34.706802, 1599.986, 450
2020-03-17 14:52:35.169121, 1599.514, 448
2020-03-17 14:52:35.630952, 1603.29, 466
2020-03-17 14:52:36.092656, 1596.686, 433
2020-03-17 14:52:36.554357, 1602.344, 462
2020-03-17 14:52:37.016272, 1599.034, 445
2020-03-17 14:52:37.478167, 1600.984, 455
2020-03-17 14:52:37.940532, 1600.608, 453
2020-03-17 14:52:38.402959, 1600.04, 450
2020-03-17 14:52:38.865258, 1597.07, 435
2020-03-17 14:52:39.327579, 1598.42, 442
2020-03-17 14:52:39.789604, 1600.348, 452
2020-03-17 14:52:40.251442, 1601.282, 456
2020-03-17 14:52:40.713188, 1599.468, 447
2020-03-17 14:52:41.175110, 1599.878, 449
2020-03-17 14:52:41.636943, 1600.134, 451
2020-03-17 14:52:42.099152, 1600.866, 454
2020-03-17 14:52:42.561486, 1600.262, 451
2020-03-17 14:52:43.023762, 1601.986, 460
2020-03-17 14:52:43.485962, 1597.958, 440
2020-03-17 14:52:43.948053, 1602.52, 463
2020-03-17 14:52:44.409910, 1599.52, 448
2020-03-17 14:52:44.871746, 1601.064, 455
2020-03-17 14:52:45.333726, 1599.856, 449
2020-03-17 14:52:45.795533, 1599.914, 450
2020-03-17 14:52:46.257738, 1600.792, 454
2020-03-17 14:52:46.720039, 1599.26, 446
2020-03-17 14:52:47.182390, 1599.876, 449
2020-03-17 14:52:47.644312, 1599.964, 450
2020-03-17 14:52:48.106245, 1602.138, 461
2020-03-17 14:52:48.568037, 1598.234, 441
2020-03-17 14:52:49.029878, 1603.14, 466
2020-03-17 14:52:49.491741, 1597.982, 440
2020-03-17 14:52:49.953765, 1601.646, 458
2020-03-17 14:52:50.416053, 1599.83, 449
2020-03-17 14:52:50.878329, 1600.826, 454
2020-03-17 14:52:51.340902, 1601.052, 455
2020-03-17 14:52:51.803329, 1599.18, 446
2020-03-17 14:52:52.265611, 1599.946, 450
2020-03-17 14:52:52.727432, 1600.706, 454
2020-03-17 14:52:53.189420, 1601.81, 459
2020-03-17 14:52:53.651134, 1599.19, 446
2020-03-17 14:52:54.113128, 1602.426, 462
2020-03-17 14:52:54.575462, 1594.636, 423
2020-03-17 14:52:55.037715, 1599.788, 449
2020-03-17 14:52:55.500213, 1601.888, 459
