time,pin_voltage,current
2020-03-18 11:44:52.994208, 1581.382, 357
2020-03-18 11:44:53.455522, 1581.568, 358
2020-03-18 11:44:53.916437, 1581.364, 357
2020-03-18 11:44:54.377383, 1587.49, 387
2020-03-18 11:44:54.838180, 1593.748, 419
2020-03-18 11:44:55.298937, 1595.742, 429
2020-03-18 11:44:55.759813, 1600.952, 455
2020-03-18 11:44:56.220727, 1602.224, 461
2020-03-18 11:44:56.681661, 1581.386, 357
2020-03-18 11:44:57.142568, 1581.706, 359
2020-03-18 11:44:57.603451, 1582.05, 360
2020-03-18 11:44:58.064278, 1581.738, 359
2020-03-18 11:44:58.525350, 1581.4, 357
2020-03-18 11:44:58.986288, 1582.132, 361
2020-03-18 11:44:59.447144, 1581.498, 357
2020-03-18 11:44:59.907857, 1582.65, 363
2020-03-18 11:45:00.368729, 1581.836, 359
2020-03-18 11:45:00.829533, 1583.024, 365
2020-03-18 11:45:01.290210, 1583.142, 366
2020-03-18 11:45:01.750130, 1598.622, 443
2020-03-18 11:45:02.210147, 1599.986, 450
2020-03-18 11:45:02.670148, 1601.362, 457
2020-03-18 11:45:03.130136, 1600.838, 454
2020-03-18 11:45:03.590120, 1600.458, 452
2020-03-18 11:45:04.050053, 1581.302, 357
2020-03-18 11:45:04.509779, 1581.77, 359
2020-03-18 11:45:04.969609, 1582.724, 364
2020-03-18 11:45:05.429587, 1581.49, 357
2020-03-18 11:45:05.889571, 1581.762, 359
2020-03-18 11:45:06.349578, 1581.468, 357
2020-03-18 11:45:06.809586, 1582.018, 360
2020-03-18 11:45:07.269493, 1581.022, 355
2020-03-18 11:45:07.729441, 1581.95, 360
2020-03-18 11:45:08.189449, 1581.964, 360
2020-03-18 11:45:08.649335, 1584.914, 375
2020-03-18 11:45:09.109143, 1598.584, 443
2020-03-18 11:45:09.569117, 1600.258, 451
2020-03-18 11:45:10.028957, 1601.876, 459
2020-03-18 11:45:10.488879, 1601.546, 458
2020-03-18 11:45:10.949029, 1603.556, 468
2020-03-18 11:45:11.408983, 1599.742, 449
2020-03-18 11:45:11.868948, 1603.268, 466
2020-03-18 11:45:12.328866, 1582.29, 361
2020-03-18 11:45:12.788942, 1581.926, 360
2020-03-18 11:45:13.248883, 1582.016, 360
2020-03-18 11:45:13.708849, 1581.764, 359
2020-03-18 11:45:14.168668, 1581.752, 359
2020-03-18 11:45:14.628576, 1582.0, 360
2020-03-18 11:45:15.088427, 1581.75, 359
2020-03-18 11:45:15.548420, 1582.606, 363
2020-03-18 11:45:16.008280, 1582.618, 363
2020-03-18 11:45:16.468249, 1581.83, 359
2020-03-18 11:45:16.928215, 1583.534, 368
2020-03-18 11:45:17.388031, 1597.698, 438
2020-03-18 11:45:17.847940, 1601.032, 455
2020-03-18 11:45:18.307700, 1601.714, 459
2020-03-18 11:45:18.767684, 1601.22, 456
2020-03-18 11:45:19.227701, 1605.27, 476
2020-03-18 11:45:19.687657, 1597.968, 440
2020-03-18 11:45:20.147659, 1604.376, 472
2020-03-18 11:45:20.607680, 1601.364, 457
2020-03-18 11:45:21.067781, 1601.928, 460
2020-03-18 11:45:21.527524, 1601.848, 459
2020-03-18 11:45:21.987399, 1599.818, 449
2020-03-18 11:45:22.447372, 1592.44, 412
2020-03-18 11:45:22.907425, 1582.564, 363
2020-03-18 11:45:23.367477, 1581.82, 359
2020-03-18 11:45:23.827300, 1581.518, 358
2020-03-18 11:45:24.287237, 1582.154, 361
2020-03-18 11:45:24.747163, 1581.748, 359
2020-03-18 11:45:25.207250, 1581.976, 360
2020-03-18 11:45:25.667335, 1582.876, 364
2020-03-18 11:45:26.127345, 1582.386, 362
2020-03-18 11:45:26.587391, 1582.464, 362
2020-03-18 11:45:27.047351, 1580.954, 355
2020-03-18 11:45:27.507267, 1590.088, 400
2020-03-18 11:45:27.967196, 1599.87, 449
2020-03-18 11:45:28.427207, 1602.578, 463
2020-03-18 11:45:28.887181, 1600.842, 454
2020-03-18 11:45:29.347148, 1601.48, 457
2020-03-18 11:45:29.807061, 1602.178, 461
2020-03-18 11:45:30.267053, 1600.57, 453
2020-03-18 11:45:30.727094, 1602.772, 464
2020-03-18 11:45:31.187050, 1600.864, 454
2020-03-18 11:45:31.647070, 1604.036, 470
2020-03-18 11:45:32.107022, 1598.372, 442
2020-03-18 11:45:32.567010, 1605.608, 478
2020-03-18 11:45:33.027055, 1598.94, 445
2020-03-18 11:45:33.486991, 1601.634, 458
2020-03-18 11:45:33.946870, 1601.552, 458
2020-03-18 11:45:34.406776, 1601.22, 456
2020-03-18 11:45:34.866670, 1590.692, 403
2020-03-18 11:45:35.326751, 1582.758, 364
2020-03-18 11:45:35.786773, 1582.064, 360
2020-03-18 11:45:36.246517, 1581.686, 358
2020-03-18 11:45:36.706499, 1581.58, 358
2020-03-18 11:45:37.166423, 1582.386, 362
2020-03-18 11:45:37.626382, 1583.168, 366
2020-03-18 11:45:38.086407, 1581.824, 359
2020-03-18 11:45:38.546330, 1582.574, 363
2020-03-18 11:45:39.006217, 1581.744, 359
2020-03-18 11:45:39.466196, 1581.788, 359
2020-03-18 11:45:39.926086, 1590.958, 405
2020-03-18 11:45:40.386115, 1599.164, 446
2020-03-18 11:45:40.846106, 1604.214, 471
2020-03-18 11:45:41.306078, 1601.598, 458
2020-03-18 11:45:41.766073, 1601.08, 455
2020-03-18 11:45:42.226072, 1601.676, 458
2020-03-18 11:45:42.686064, 1605.264, 476
2020-03-18 11:45:43.146023, 1607.7, 489
2020-03-18 11:45:43.605963, 1601.05, 455
2020-03-18 11:45:44.066056, 1602.36, 462
2020-03-18 11:45:44.525909, 1599.68, 448
2020-03-18 11:45:44.985713, 1603.542, 468
2020-03-18 11:45:45.445713, 1599.118, 446
2020-03-18 11:45:45.905709, 1604.196, 471
2020-03-18 11:45:46.365638, 1601.4, 457
2020-03-18 11:45:46.825600, 1600.608, 453
2020-03-18 11:45:47.285586, 1601.446, 457
2020-03-18 11:45:47.745394, 1600.164, 451
2020-03-18 11:45:48.205348, 1600.926, 455
2020-03-18 11:45:48.665250, 1600.896, 454
2020-03-18 11:45:49.125240, 1602.314, 462
2020-03-18 11:45:49.585232, 1600.288, 451
2020-03-18 11:45:50.045152, 1602.294, 461
2020-03-18 11:45:50.505045, 1582.792, 364
2020-03-18 11:45:50.964853, 1582.496, 362
2020-03-18 11:45:51.424822, 1582.906, 365
2020-03-18 11:45:51.884716, 1582.012, 360
2020-03-18 11:45:52.344740, 1582.096, 360
2020-03-18 11:45:52.804667, 1581.836, 359
2020-03-18 11:45:53.264434, 1581.758, 359
2020-03-18 11:45:53.724352, 1581.394, 357
