time,pin_voltage,current
2020-03-04 10:33:20.421298, 1588.876, 394
2020-03-04 10:33:20.882083, 1588.862, 394
2020-03-04 10:33:21.342903, 1588.79, 394
2020-03-04 10:33:21.803488, 1588.87, 394
2020-03-04 10:33:22.264156, 1589.234, 396
2020-03-04 10:33:22.724883, 1588.592, 393
2020-03-04 10:33:23.185463, 1588.936, 395
2020-03-04 10:33:23.645761, 1588.828, 394
2020-03-04 10:33:24.105867, 1589.752, 399
2020-03-04 10:33:24.565906, 1588.52, 393
2020-03-04 10:33:25.026108, 1588.976, 395
2020-03-04 10:33:25.486881, 1588.74, 394
2020-03-04 10:33:25.947648, 1589.5, 398
2020-03-04 10:33:26.408405, 1610.616, 503
2020-03-04 10:33:26.869153, 1612.546, 513
2020-03-04 10:33:27.329834, 1613.17, 516
2020-03-04 10:33:27.790466, 1612.85, 514
2020-03-04 10:33:28.251124, 1614.204, 521
2020-03-04 10:33:28.711341, 1613.112, 516
2020-03-04 10:33:29.171426, 1614.534, 523
2020-03-04 10:33:29.631747, 1613.718, 519
2020-03-04 10:33:30.092329, 1613.476, 517
2020-03-04 10:33:30.552975, 1615.394, 527
2020-03-04 10:33:31.013621, 1613.974, 520
2020-03-04 10:33:31.474297, 1613.686, 518
2020-03-04 10:33:31.935389, 1615.024, 525
2020-03-04 10:33:32.397109, 1613.068, 515
2020-03-04 10:33:32.858676, 1613.838, 519
2020-03-04 10:33:33.320009, 1614.894, 524
2020-03-04 10:33:33.781220, 1613.32, 517
2020-03-04 10:33:34.242385, 1613.686, 518
2020-03-04 10:33:34.703603, 1615.446, 527
2020-03-04 10:33:35.164733, 1612.33, 512
2020-03-04 10:33:35.626399, 1614.332, 522
2020-03-04 10:33:36.087947, 1615.998, 530
2020-03-04 10:33:36.549409, 1612.622, 513
2020-03-04 10:33:37.011289, 1613.582, 518
2020-03-04 10:33:37.472857, 1616.328, 532
2020-03-04 10:33:37.934172, 1613.224, 516
2020-03-04 10:33:38.395482, 1614.25, 521
2020-03-04 10:33:38.856823, 1617.03, 535
2020-03-04 10:33:39.318135, 1611.86, 509
2020-03-04 10:33:39.780099, 1614.074, 520
2020-03-04 10:33:40.241754, 1615.77, 529
2020-03-04 10:33:40.703500, 1613.03, 515
2020-03-04 10:33:41.164989, 1614.004, 520
2020-03-04 10:33:41.626372, 1615.636, 528
2020-03-04 10:33:42.087455, 1618.664, 543
2020-03-04 10:33:42.548606, 1615.59, 528
2020-03-04 10:33:43.009976, 1615.908, 530
2020-03-04 10:33:43.471200, 1613.908, 520
2020-03-04 10:33:43.932830, 1614.394, 522
2020-03-04 10:33:44.394375, 1614.934, 525
2020-03-04 10:33:44.856220, 1615.284, 526
2020-03-04 10:33:45.317753, 1614.156, 521
2020-03-04 10:33:45.778898, 1615.44, 527
2020-03-04 10:33:46.240078, 1614.072, 520
2020-03-04 10:33:46.701292, 1615.166, 526
2020-03-04 10:33:47.162317, 1616.106, 531
2020-03-04 10:33:47.623462, 1613.466, 517
2020-03-04 10:33:48.085120, 1615.178, 526
2020-03-04 10:33:48.546759, 1616.816, 534
2020-03-04 10:33:49.008366, 1613.368, 517
2020-03-04 10:33:49.470210, 1615.878, 529
2020-03-04 10:33:49.931591, 1617.052, 535
2020-03-04 10:33:50.392907, 1614.076, 520
2020-03-04 10:33:50.854157, 1614.822, 524
2020-03-04 10:33:51.315592, 1617.046, 535
2020-03-04 10:33:51.776867, 1613.016, 515
2020-03-04 10:33:52.238531, 1614.916, 525
2020-03-04 10:33:52.700088, 1616.724, 534
2020-03-04 10:33:53.161569, 1614.11, 521
2020-03-04 10:33:53.623494, 1614.636, 523
2020-03-04 10:33:54.084881, 1616.154, 531
2020-03-04 10:33:54.546114, 1614.468, 522
2020-03-04 10:33:55.007446, 1614.48, 522
2020-03-04 10:33:55.468537, 1608.228, 491
2020-03-04 10:33:55.929905, 1589.804, 399
2020-03-04 10:33:56.391506, 1589.648, 398
2020-03-04 10:33:56.853106, 1590.07, 400
2020-03-04 10:33:57.314711, 1590.564, 403
2020-03-04 10:33:57.776330, 1589.988, 400
2020-03-04 10:33:58.237743, 1589.388, 397
2020-03-04 10:33:58.699002, 1589.502, 398
2020-03-04 10:33:59.160296, 1590.162, 401
2020-03-04 10:33:59.621736, 1589.508, 398
2020-03-04 10:34:00.082913, 1589.132, 396
