time,pin_voltage,current
2020-03-04 14:03:29.437865, 1586.13, 381
2020-03-04 14:03:29.898598, 1587.614, 388
2020-03-04 14:03:30.359634, 1587.572, 388
2020-03-04 14:03:30.820575, 1586.948, 385
2020-03-04 14:03:31.281408, 1586.876, 384
2020-03-04 14:03:31.742360, 1586.766, 384
2020-03-04 14:03:32.203841, 1587.818, 389
2020-03-04 14:03:32.665221, 1587.772, 389
2020-03-04 14:03:33.126255, 1587.656, 388
2020-03-04 14:03:33.587292, 1596.93, 435
2020-03-04 14:03:34.048108, 1600.674, 453
2020-03-04 14:03:34.508766, 1596.812, 434
2020-03-04 14:03:34.969536, 1587.814, 389
2020-03-04 14:03:35.431071, 1585.862, 379
2020-03-04 14:03:35.892335, 1586.822, 384
2020-03-04 14:03:36.353712, 1589.154, 396
2020-03-04 14:03:36.815211, 1599.226, 446
2020-03-04 14:03:37.276220, 1608.342, 492
2020-03-04 14:03:37.737084, 1613.828, 519
2020-03-04 14:03:38.198052, 1602.34, 462
2020-03-04 14:03:38.659155, 1613.79, 519
2020-03-04 14:03:39.119738, 1607.528, 488
2020-03-04 14:03:39.580653, 1610.43, 502
2020-03-04 14:03:40.042011, 1609.424, 497
2020-03-04 14:03:40.503298, 1607.992, 490
2020-03-04 14:03:40.964415, 1610.406, 502
2020-03-04 14:03:41.425043, 1608.456, 492
2020-03-04 14:03:41.885848, 1614.452, 522
2020-03-04 14:03:42.346745, 1606.672, 483
2020-03-04 14:03:42.807663, 1611.168, 506
2020-03-04 14:03:43.268613, 1608.428, 492
2020-03-04 14:03:43.729861, 1610.872, 504
2020-03-04 14:03:44.191136, 1610.28, 501
2020-03-04 14:03:44.652486, 1608.74, 494
2020-03-04 14:03:45.113835, 1616.266, 531
2020-03-04 14:03:45.574890, 1603.142, 466
2020-03-04 14:03:46.035940, 1617.976, 540
2020-03-04 14:03:46.496884, 1607.446, 487
2020-03-04 14:03:46.957855, 1610.726, 504
2020-03-04 14:03:47.418842, 1610.196, 501
2020-03-04 14:03:47.880165, 1610.048, 500
2020-03-04 14:03:48.341399, 1610.612, 503
2020-03-04 14:03:48.802924, 1608.604, 493
2020-03-04 14:03:49.264287, 1616.582, 533
2020-03-04 14:03:49.725477, 1604.036, 470
2020-03-04 14:03:50.186531, 1613.444, 517
2020-03-04 14:03:50.647541, 1607.242, 486
2020-03-04 14:03:51.108088, 1609.614, 498
2020-03-04 14:03:51.568782, 1609.2, 496
2020-03-04 14:03:52.030218, 1609.906, 500
2020-03-04 14:03:52.491709, 1613.122, 516
2020-03-04 14:03:52.953115, 1605.042, 475
2020-03-04 14:03:53.414459, 1618.894, 544
2020-03-04 14:03:53.875626, 1606.928, 485
2020-03-04 14:03:54.336682, 1613.236, 516
2020-03-04 14:03:54.797584, 1609.686, 498
2020-03-04 14:03:55.258590, 1610.056, 500
2020-03-04 14:03:55.719551, 1609.186, 496
2020-03-04 14:03:56.180810, 1608.49, 492
2020-03-04 14:03:56.642305, 1616.052, 530
2020-03-04 14:03:57.103677, 1603.68, 468
2020-03-04 14:03:57.565225, 1615.98, 530
2020-03-04 14:03:58.026392, 1621.456, 557
2020-03-04 14:03:58.487319, 1622.754, 564
2020-03-04 14:03:58.948006, 1637.708, 639
2020-03-04 14:03:59.408977, 1639.128, 646
2020-03-04 14:03:59.870090, 1622.978, 565
2020-03-04 14:04:00.331260, 1641.878, 659
2020-03-04 14:04:00.792231, 1633.964, 620
2020-03-04 14:04:01.253185, 1623.804, 569
2020-03-04 14:04:01.714394, 1652.06, 710
2020-03-04 14:04:02.175641, 1624.372, 572
2020-03-04 14:04:02.636690, 1626.906, 585
2020-03-04 14:04:03.097714, 1648.848, 694
2020-03-04 14:04:03.558789, 1623.646, 568
2020-03-04 14:04:04.019811, 1633.712, 619
2020-03-04 14:04:04.481222, 1643.016, 665
2020-03-04 14:04:04.942482, 1622.9, 565
2020-03-04 14:04:05.403979, 1640.744, 654
2020-03-04 14:04:05.865350, 1634.608, 623
2020-03-04 14:04:06.326448, 1622.73, 564
2020-03-04 14:04:06.787429, 1651.87, 709
2020-03-04 14:04:07.248293, 1626.454, 582
2020-03-04 14:04:07.709174, 1625.086, 575
2020-03-04 14:04:08.170104, 1650.738, 704
2020-03-04 14:04:08.631477, 1623.218, 566
2020-03-04 14:04:09.092762, 1633.254, 616
2020-03-04 14:04:09.554135, 1644.52, 673
2020-03-04 14:04:10.015496, 1623.126, 566
2020-03-04 14:04:10.476798, 1639.542, 648
2020-03-04 14:04:10.937631, 1637.686, 638
2020-03-04 14:04:11.398126, 1624.112, 571
2020-03-04 14:04:11.858926, 1648.278, 691
2020-03-04 14:04:12.319457, 1628.156, 591
