time,pin_voltage,current
2020-03-04 10:49:18.189231, 1589.338, 397
2020-03-04 10:49:18.649039, 1588.938, 395
2020-03-04 10:49:19.108627, 1589.67, 398
2020-03-04 10:49:19.568273, 1589.704, 399
2020-03-04 10:49:20.028211, 1589.458, 397
2020-03-04 10:49:20.488161, 1589.268, 396
2020-03-04 10:49:20.948179, 1592.784, 414
2020-03-04 10:49:21.408091, 1600.898, 454
2020-03-04 10:49:21.868059, 1598.832, 444
2020-03-04 10:49:22.328035, 1594.068, 420
2020-03-04 10:49:22.788099, 1594.286, 421
2020-03-04 10:49:23.248050, 1593.988, 420
2020-03-04 10:49:23.708655, 1594.33, 422
