time,pin_voltage,current
2020-03-26 10:47:12.834441, 1582.544, 363
2020-03-26 10:47:13.294497, 1582.426, 362
2020-03-26 10:47:13.754347, 1582.622, 363
2020-03-26 10:47:14.214496, 1582.722, 364
2020-03-26 10:47:14.674513, 1583.054, 365
2020-03-26 10:47:15.134532, 1583.782, 369
2020-03-26 10:47:15.594518, 1583.356, 367
2020-03-26 10:47:16.054489, 1583.544, 368
2020-03-26 10:47:16.514298, 1582.828, 364
2020-03-26 10:47:16.974158, 1582.466, 362
2020-03-26 10:47:17.434149, 1583.06, 365
2020-03-26 10:47:17.894212, 1582.378, 362
2020-03-26 10:47:18.354209, 1582.842, 364
2020-03-26 10:47:18.814114, 1582.772, 364
2020-03-26 10:47:19.273883, 1582.87, 364
2020-03-26 10:47:19.733858, 1582.958, 365
2020-03-26 10:47:20.193667, 1583.764, 369
2020-03-26 10:47:20.653599, 1583.202, 366
2020-03-26 10:47:21.113350, 1582.984, 365
2020-03-26 10:47:21.573189, 1583.022, 365
2020-03-26 10:47:22.033231, 1583.506, 368
2020-03-26 10:47:22.493070, 1582.804, 364
2020-03-26 10:47:22.952942, 1583.78, 369
2020-03-26 10:47:23.412714, 1583.272, 366
2020-03-26 10:47:23.872754, 1582.934, 365
2020-03-26 10:47:24.332137, 1582.906, 365
2020-03-26 10:47:24.792174, 1582.742, 364
2020-03-26 10:47:25.252161, 1583.404, 367
2020-03-26 10:47:25.713623, 1582.77, 364
2020-03-26 10:47:26.175569, 1583.19, 366
2020-03-26 10:47:26.637208, 1583.24, 366
2020-03-26 10:47:27.098747, 1582.56, 363
2020-03-26 10:47:27.560452, 1582.35, 362
2020-03-26 10:47:28.022155, 1582.18, 361
2020-03-26 10:47:28.484120, 1582.206, 361
2020-03-26 10:47:28.946077, 1582.068, 360
2020-03-26 10:47:29.408058, 1582.622, 363
2020-03-26 10:47:29.870052, 1583.138, 366
2020-03-26 10:47:30.331937, 1583.222, 366
2020-03-26 10:47:30.793733, 1582.938, 365
2020-03-26 10:47:31.255401, 1582.482, 362
2020-03-26 10:47:31.717238, 1581.76, 359
2020-03-26 10:47:32.178950, 1582.268, 361
2020-03-26 10:47:32.640930, 1582.518, 363
2020-03-26 10:47:33.103149, 1582.64, 363
2020-03-26 10:47:33.565574, 1582.75, 364
2020-03-26 10:47:34.027732, 1582.658, 363
2020-03-26 10:47:34.489639, 1581.834, 359
2020-03-26 10:47:34.951407, 1583.52, 368
2020-03-26 10:47:35.413516, 1583.408, 367
2020-03-26 10:47:35.875619, 1583.68, 368
2020-03-26 10:47:36.337595, 1583.178, 366
2020-03-26 10:47:36.799366, 1582.144, 361
2020-03-26 10:47:37.261088, 1582.352, 362
2020-03-26 10:47:37.722872, 1581.612, 358
2020-03-26 10:47:38.184705, 1582.902, 365
2020-03-26 10:47:38.646472, 1582.186, 361
2020-03-26 10:47:39.108463, 1582.918, 365
2020-03-26 10:47:39.570455, 1582.908, 365
2020-03-26 10:47:40.032472, 1582.73, 364
2020-03-26 10:47:40.494479, 1583.466, 367
2020-03-26 10:47:40.956332, 1583.592, 368
2020-03-26 10:47:41.418135, 1582.898, 364
2020-03-26 10:47:41.880072, 1582.808, 364
2020-03-26 10:47:42.341913, 1582.72, 364
2020-03-26 10:47:42.803561, 1582.356, 362
2020-03-26 10:47:43.265655, 1582.792, 364
2020-03-26 10:47:43.727664, 1582.098, 360
2020-03-26 10:47:44.189497, 1582.678, 363
2020-03-26 10:47:44.651701, 1582.436, 362
2020-03-26 10:47:45.113791, 1582.838, 364
2020-03-26 10:47:45.576003, 1583.0, 365
2020-03-26 10:47:46.038212, 1583.26, 366
2020-03-26 10:47:46.500422, 1582.73, 364
2020-03-26 10:47:46.962445, 1582.302, 362
2020-03-26 10:47:47.424241, 1582.18, 361
2020-03-26 10:47:47.885990, 1581.914, 360
2020-03-26 10:47:48.347682, 1582.678, 363
2020-03-26 10:47:48.809403, 1582.37, 362
2020-03-26 10:47:49.271254, 1582.286, 361
2020-03-26 10:47:49.733106, 1583.372, 367
2020-03-26 10:47:50.195124, 1583.104, 366
2020-03-26 10:47:50.657237, 1584.422, 372
2020-03-26 10:47:51.119338, 1583.414, 367
2020-03-26 10:47:51.580939, 1583.094, 365
2020-03-26 10:47:52.042588, 1583.084, 365
2020-03-26 10:47:52.504448, 1582.598, 363
2020-03-26 10:47:52.966130, 1582.562, 363
2020-03-26 10:47:53.428197, 1582.774, 364
2020-03-26 10:47:53.890257, 1583.246, 366
2020-03-26 10:47:54.352252, 1582.648, 363
2020-03-26 10:47:54.814159, 1582.084, 360
2020-03-26 10:47:55.276051, 1582.832, 364
2020-03-26 10:47:55.737969, 1583.502, 368
2020-03-26 10:47:56.199911, 1583.126, 366
2020-03-26 10:47:56.661877, 1582.702, 364
2020-03-26 10:47:57.123907, 1582.968, 365
2020-03-26 10:47:57.585728, 1582.964, 365
2020-03-26 10:47:58.047385, 1582.066, 360
2020-03-26 10:47:58.509267, 1582.532, 363
2020-03-26 10:47:58.971057, 1581.928, 360
2020-03-26 10:47:59.432829, 1582.412, 362
2020-03-26 10:47:59.894820, 1581.976, 360
2020-03-26 10:48:00.356973, 1582.55, 363
2020-03-26 10:48:00.819126, 1583.058, 365
2020-03-26 10:48:01.281073, 1582.784, 364
2020-03-26 10:48:01.742923, 1581.812, 359
2020-03-26 10:48:02.204630, 1582.126, 361
2020-03-26 10:48:02.666307, 1582.49, 362
2020-03-26 10:48:03.128103, 1581.838, 359
2020-03-26 10:48:03.589673, 1581.836, 359
2020-03-26 10:48:04.051744, 1582.156, 361
2020-03-26 10:48:04.513567, 1581.878, 359
2020-03-26 10:48:04.975782, 1581.846, 359
2020-03-26 10:48:05.437757, 1582.398, 362
2020-03-26 10:48:05.899480, 1582.384, 362
2020-03-26 10:48:06.361338, 1583.152, 366
2020-03-26 10:48:06.823432, 1582.714, 364
2020-03-26 10:48:07.285267, 1581.796, 359
2020-03-26 10:48:07.747458, 1582.512, 363
2020-03-26 10:48:08.208979, 1582.046, 360
2020-03-26 10:48:08.670711, 1582.428, 362
2020-03-26 10:48:09.132320, 1582.472, 362
2020-03-26 10:48:09.594141, 1582.76, 364
2020-03-26 10:48:10.055905, 1582.278, 361
2020-03-26 10:48:10.517845, 1583.068, 365
2020-03-26 10:48:10.979842, 1583.048, 365
2020-03-26 10:48:11.441831, 1582.918, 365
2020-03-26 10:48:11.903721, 1582.016, 360
2020-03-26 10:48:12.365411, 1581.792, 359
2020-03-26 10:48:12.826833, 1582.278, 361
