time,pin_voltage,current
2020-03-26 10:44:49.708024, 1561.98, 260
2020-03-26 10:44:50.167788, 1562.252, 261
2020-03-26 10:44:50.627518, 1562.076, 260
2020-03-26 10:44:51.087321, 1561.054, 255
2020-03-26 10:44:51.547029, 1562.12, 261
2020-03-26 10:44:52.006729, 1561.61, 258
2020-03-26 10:44:52.466539, 1561.166, 256
2020-03-26 10:44:52.925916, 1561.74, 259
2020-03-26 10:44:53.385400, 1561.876, 259
2020-03-26 10:44:53.844755, 1562.03, 260
2020-03-26 10:44:54.304143, 1561.772, 259
2020-03-26 10:44:54.763783, 1561.34, 257
2020-03-26 10:44:55.223658, 1561.752, 259
2020-03-26 10:44:55.683487, 1561.408, 257
2020-03-26 10:44:56.143283, 1562.592, 263
2020-03-26 10:44:56.602909, 1562.236, 261
2020-03-26 10:44:57.062716, 1561.698, 258
2020-03-26 10:44:57.522423, 1561.284, 256
2020-03-26 10:44:57.982131, 1562.172, 261
2020-03-26 10:44:58.441485, 1561.466, 257
2020-03-26 10:44:58.900800, 1562.12, 261
2020-03-26 10:44:59.360534, 1561.516, 258
2020-03-26 10:44:59.820309, 1561.42, 257
2020-03-26 10:45:00.280045, 1561.904, 260
2020-03-26 10:45:00.739681, 1562.626, 263
2020-03-26 10:45:01.199378, 1562.328, 262
2020-03-26 10:45:01.659108, 1561.906, 260
2020-03-26 10:45:02.118902, 1561.634, 258
2020-03-26 10:45:02.578351, 1562.36, 262
2020-03-26 10:45:03.037661, 1561.882, 259
2020-03-26 10:45:03.496927, 1561.332, 257
2020-03-26 10:45:03.956266, 1562.1, 260
2020-03-26 10:45:04.415550, 1561.682, 258
2020-03-26 10:45:04.875385, 1561.67, 258
2020-03-26 10:45:05.335014, 1561.512, 258
2020-03-26 10:45:05.794847, 1561.86, 259
2020-03-26 10:45:06.254561, 1561.596, 258
2020-03-26 10:45:06.714310, 1561.712, 259
2020-03-26 10:45:07.173968, 1561.98, 260
2020-03-26 10:45:07.633763, 1561.442, 257
2020-03-26 10:45:08.093309, 1561.082, 255
2020-03-26 10:45:08.552557, 1561.594, 258
2020-03-26 10:45:09.011852, 1562.056, 260
2020-03-26 10:45:09.471556, 1561.094, 255
2020-03-26 10:45:09.931290, 1562.234, 261
2020-03-26 10:45:10.390992, 1561.92, 260
2020-03-26 10:45:10.850712, 1561.258, 256
2020-03-26 10:45:11.310532, 1560.974, 255
2020-03-26 10:45:11.770293, 1561.826, 259
2020-03-26 10:45:12.229762, 1562.378, 262
2020-03-26 10:45:12.689127, 1561.466, 257
2020-03-26 10:45:13.148513, 1561.652, 258
2020-03-26 10:45:13.607899, 1561.474, 257
2020-03-26 10:45:14.067262, 1561.968, 260
2020-03-26 10:45:14.526573, 1561.82, 259
2020-03-26 10:45:14.986467, 1561.082, 255
2020-03-26 10:45:15.446243, 1561.904, 260
2020-03-26 10:45:15.905974, 1561.838, 259
2020-03-26 10:45:16.365669, 1561.212, 256
2020-03-26 10:45:16.825498, 1561.608, 258
2020-03-26 10:45:17.285154, 1561.938, 260
2020-03-26 10:45:17.744964, 1561.422, 257
2020-03-26 10:45:18.204433, 1561.43, 257
2020-03-26 10:45:18.663783, 1561.99, 260
2020-03-26 10:45:19.123160, 1561.792, 259
2020-03-26 10:45:19.583016, 1561.538, 258
2020-03-26 10:45:20.042823, 1561.364, 257
2020-03-26 10:45:20.502577, 1561.9, 260
2020-03-26 10:45:20.962222, 1561.2, 256
2020-03-26 10:45:21.421890, 1561.642, 258
2020-03-26 10:45:21.881645, 1561.556, 258
2020-03-26 10:45:22.341402, 1561.642, 258
2020-03-26 10:45:22.801211, 1561.334, 257
2020-03-26 10:45:23.260665, 1561.214, 256
2020-03-26 10:45:23.720063, 1561.71, 259
2020-03-26 10:45:24.179343, 1561.588, 258
2020-03-26 10:45:24.638730, 1561.576, 258
2020-03-26 10:45:25.098322, 1561.566, 258
2020-03-26 10:45:25.558286, 1561.598, 258
2020-03-26 10:45:26.019262, 1561.284, 256
2020-03-26 10:45:26.480128, 1562.28, 261
2020-03-26 10:45:26.941079, 1561.372, 257
2020-03-26 10:45:27.401855, 1561.672, 258
2020-03-26 10:45:27.862818, 1561.29, 256
2020-03-26 10:45:28.323689, 1562.238, 261
2020-03-26 10:45:28.784550, 1561.626, 258
2020-03-26 10:45:29.245409, 1562.006, 260
2020-03-26 10:45:29.706381, 1562.016, 260
2020-03-26 10:45:30.167241, 1560.946, 255
2020-03-26 10:45:30.628285, 1561.528, 258
2020-03-26 10:45:31.089234, 1561.576, 258
2020-03-26 10:45:31.550009, 1561.768, 259
2020-03-26 10:45:32.010968, 1562.092, 260
2020-03-26 10:45:32.471774, 1561.33, 257
2020-03-26 10:45:32.932606, 1562.044, 260
2020-03-26 10:45:33.393306, 1561.936, 260
2020-03-26 10:45:33.853938, 1561.942, 260
2020-03-26 10:45:34.314223, 1561.698, 258
2020-03-26 10:45:34.774724, 1561.88, 259
2020-03-26 10:45:35.235673, 1561.946, 260
2020-03-26 10:45:35.696439, 1562.368, 262
2020-03-26 10:45:36.157302, 1561.556, 258
2020-03-26 10:45:36.618152, 1561.514, 258
2020-03-26 10:45:37.078957, 1561.614, 258
2020-03-26 10:45:37.539763, 1561.628, 258
2020-03-26 10:45:38.000470, 1562.226, 261
2020-03-26 10:45:38.461413, 1561.418, 257
2020-03-26 10:45:38.922639, 1561.71, 259
2020-03-26 10:45:39.383394, 1561.312, 257
2020-03-26 10:45:39.844306, 1561.81, 259
2020-03-26 10:45:40.305061, 1562.448, 262
2020-03-26 10:45:40.765936, 1561.5, 258
2020-03-26 10:45:41.226832, 1562.51, 263
2020-03-26 10:45:41.687734, 1561.898, 259
2020-03-26 10:45:42.148493, 1561.824, 259
2020-03-26 10:45:42.609256, 1561.642, 258
2020-03-26 10:45:43.070194, 1562.496, 262
2020-03-26 10:45:43.531057, 1561.664, 258
2020-03-26 10:45:43.991968, 1561.864, 259
2020-03-26 10:45:44.452404, 1561.958, 260
2020-03-26 10:45:44.913206, 1561.538, 258
2020-03-26 10:45:45.374042, 1561.54, 258
2020-03-26 10:45:45.834807, 1561.59, 258
2020-03-26 10:45:46.295528, 1561.72, 259
2020-03-26 10:45:46.756399, 1561.19, 256
