time,pin_voltage,current
2020-03-26 10:50:27.775018, 1582.656, 363
2020-03-26 10:50:28.234990, 1582.742, 364
2020-03-26 10:50:28.694616, 1582.596, 363
2020-03-26 10:50:29.154099, 1582.116, 361
2020-03-26 10:50:29.613819, 1581.832, 359
2020-03-26 10:50:30.073665, 1582.302, 362
2020-03-26 10:50:30.533423, 1581.756, 359
2020-03-26 10:50:30.993211, 1583.13, 366
2020-03-26 10:50:31.453048, 1581.736, 359
2020-03-26 10:50:31.912776, 1581.862, 359
2020-03-26 10:50:32.372482, 1582.02, 360
2020-03-26 10:50:32.832827, 1582.69, 363
2020-03-26 10:50:33.292757, 1582.946, 365
2020-03-26 10:50:33.752264, 1582.198, 361
2020-03-26 10:50:34.211824, 1582.624, 363
2020-03-26 10:50:34.671405, 1581.346, 357
2020-03-26 10:50:35.131154, 1583.154, 366
2020-03-26 10:50:35.591008, 1582.044, 360
2020-03-26 10:50:36.050705, 1582.214, 361
2020-03-26 10:50:36.510154, 1582.108, 361
2020-03-26 10:50:36.969647, 1582.612, 363
2020-03-26 10:50:37.429471, 1582.994, 365
2020-03-26 10:50:37.889312, 1582.996, 365
2020-03-26 10:50:38.349133, 1583.192, 366
2020-03-26 10:50:38.808584, 1582.398, 362
2020-03-26 10:50:39.267986, 1582.066, 360
2020-03-26 10:50:39.727646, 1581.972, 360
2020-03-26 10:50:40.187392, 1582.02, 360
2020-03-26 10:50:40.647196, 1582.24, 361
2020-03-26 10:50:41.106886, 1582.412, 362
2020-03-26 10:50:41.566727, 1581.916, 360
2020-03-26 10:50:42.026509, 1582.764, 364
2020-03-26 10:50:42.486364, 1583.5, 368
2020-03-26 10:50:42.946146, 1582.47, 362
2020-03-26 10:50:43.405830, 1583.006, 365
2020-03-26 10:50:43.865247, 1582.702, 364
2020-03-26 10:50:44.324710, 1582.174, 361
2020-03-26 10:50:44.784127, 1581.656, 358
2020-03-26 10:50:45.245511, 1581.636, 358
2020-03-26 10:50:45.707574, 1582.342, 362
2020-03-26 10:50:46.169435, 1581.836, 359
2020-03-26 10:50:46.631253, 1581.954, 360
2020-03-26 10:50:47.093309, 1582.396, 362
2020-03-26 10:50:47.555273, 1583.166, 366
2020-03-26 10:50:48.017086, 1583.068, 365
2020-03-26 10:50:48.478569, 1583.178, 366
2020-03-26 10:50:48.940277, 1581.19, 356
2020-03-26 10:50:49.401991, 1582.132, 361
2020-03-26 10:50:49.863583, 1581.996, 360
2020-03-26 10:50:50.325424, 1582.658, 363
2020-03-26 10:50:50.787382, 1582.01, 360
2020-03-26 10:50:51.249552, 1582.632, 363
2020-03-26 10:50:51.711519, 1582.386, 362
2020-03-26 10:50:52.173414, 1583.206, 366
2020-03-26 10:50:52.635057, 1583.214, 366
2020-03-26 10:50:53.096627, 1583.608, 368
2020-03-26 10:50:53.558484, 1583.182, 366
2020-03-26 10:50:54.020116, 1582.36, 362
2020-03-26 10:50:54.482084, 1582.616, 363
2020-03-26 10:50:54.943867, 1583.368, 367
2020-03-26 10:50:55.406028, 1582.602, 363
2020-03-26 10:50:55.867939, 1582.172, 361
2020-03-26 10:50:56.329753, 1582.204, 361
2020-03-26 10:50:56.791837, 1582.024, 360
2020-03-26 10:50:57.253893, 1581.506, 358
2020-03-26 10:50:57.715799, 1583.102, 366
2020-03-26 10:50:58.177499, 1582.548, 363
2020-03-26 10:50:58.639565, 1582.788, 364
2020-03-26 10:50:59.101386, 1581.914, 360
2020-03-26 10:50:59.563157, 1582.24, 361
2020-03-26 10:51:00.024819, 1582.03, 360
2020-03-26 10:51:00.486708, 1581.712, 359
2020-03-26 10:51:00.948631, 1582.29, 361
2020-03-26 10:51:01.410473, 1582.126, 361
2020-03-26 10:51:01.872157, 1581.462, 357
2020-03-26 10:51:02.333687, 1581.838, 359
2020-03-26 10:51:02.795606, 1582.464, 362
2020-03-26 10:51:03.257778, 1582.962, 365
2020-03-26 10:51:03.719835, 1582.77, 364
2020-03-26 10:51:04.181524, 1581.88, 359
2020-03-26 10:51:04.643101, 1582.324, 362
2020-03-26 10:51:05.105032, 1582.514, 363
2020-03-26 10:51:05.566984, 1581.768, 359
2020-03-26 10:51:06.029031, 1581.724, 359
2020-03-26 10:51:06.490826, 1581.852, 359
2020-03-26 10:51:06.952691, 1582.078, 360
2020-03-26 10:51:07.414820, 1581.508, 358
2020-03-26 10:51:07.876817, 1582.996, 365
2020-03-26 10:51:08.338538, 1581.982, 360
2020-03-26 10:51:08.800263, 1583.79, 369
2020-03-26 10:51:09.262435, 1581.35, 357
2020-03-26 10:51:09.724186, 1581.592, 358
2020-03-26 10:51:10.186046, 1581.652, 358
2020-03-26 10:51:10.647919, 1582.554, 363
2020-03-26 10:51:11.109704, 1582.054, 360
