time,pin_voltage,current
2020-03-04 10:11:21.553968, 1589.072, 395
2020-03-04 10:11:22.013780, 1589.344, 397
2020-03-04 10:11:22.473842, 1589.214, 396
2020-03-04 10:11:22.933752, 1589.078, 395
2020-03-04 10:11:23.393680, 1589.218, 396
2020-03-04 10:11:23.853482, 1589.746, 399
2020-03-04 10:11:24.313271, 1589.142, 396
2020-03-04 10:11:24.773148, 1589.15, 396
2020-03-04 10:11:25.233018, 1589.136, 396
2020-03-04 10:11:25.692825, 1589.146, 396
2020-03-04 10:11:26.152582, 1589.744, 399
2020-03-04 10:11:26.612367, 1589.17, 396
2020-03-04 10:11:27.072314, 1589.356, 397
2020-03-04 10:11:27.532224, 1589.75, 399
2020-03-04 10:11:27.992105, 1589.094, 395
2020-03-04 10:11:28.451987, 1588.996, 395
2020-03-04 10:11:28.911852, 1589.302, 397
2020-03-04 10:11:29.371638, 1588.932, 395
2020-03-04 10:11:29.831572, 1589.882, 399
2020-03-04 10:11:30.291456, 1590.102, 401
2020-03-04 10:11:30.751305, 1588.854, 394
2020-03-04 10:11:31.211187, 1588.94, 395
2020-03-04 10:11:31.671017, 1589.028, 395
2020-03-04 10:11:32.130824, 1589.146, 396
2020-03-04 10:11:32.590634, 1589.07, 395
2020-03-04 10:11:33.050494, 1589.122, 396
2020-03-04 10:11:33.510395, 1590.138, 401
2020-03-04 10:11:33.970221, 1589.848, 399
2020-03-04 10:11:34.430192, 1589.652, 398
2020-03-04 10:11:34.890030, 1589.884, 399
2020-03-04 10:11:35.349780, 1589.074, 395
2020-03-04 10:11:35.809523, 1589.246, 396
2020-03-04 10:11:36.269356, 1588.648, 393
2020-03-04 10:11:36.729180, 1606.492, 482
2020-03-04 10:11:37.188973, 1639.526, 648
2020-03-04 10:11:37.648718, 1632.388, 612
2020-03-04 10:11:38.108613, 1622.086, 560
2020-03-04 10:11:38.568373, 1642.304, 662
2020-03-04 10:11:39.027697, 1642.302, 662
2020-03-04 10:11:39.487371, 1622.532, 563
2020-03-04 10:11:39.947340, 1636.168, 631
2020-03-04 10:11:40.407303, 1642.666, 663
2020-03-04 10:11:40.867280, 1634.15, 621
2020-03-04 10:11:41.327150, 1622.778, 564
2020-03-04 10:11:41.786977, 1643.272, 666
2020-03-04 10:11:42.246842, 1641.982, 660
2020-03-04 10:11:42.706781, 1623.16, 566
2020-03-04 10:11:43.166745, 1634.296, 621
2020-03-04 10:11:43.626622, 1641.846, 659
2020-03-04 10:11:44.086600, 1636.772, 634
2020-03-04 10:11:44.546574, 1620.856, 554
2020-03-04 10:11:45.006512, 1643.952, 670
2020-03-04 10:11:45.466341, 1642.676, 663
2020-03-04 10:11:45.926168, 1625.752, 579
2020-03-04 10:11:46.386011, 1632.022, 610
2020-03-04 10:11:46.845834, 1643.334, 667
2020-03-04 10:11:47.305684, 1639.734, 649
2020-03-04 10:11:47.765590, 1619.07, 545
2020-03-04 10:11:48.225476, 1643.088, 665
2020-03-04 10:11:48.685339, 1643.744, 669
2020-03-04 10:11:49.145223, 1627.404, 587
2020-03-04 10:11:49.605067, 1622.506, 563
2020-03-04 10:11:50.065007, 1598.974, 445
2020-03-04 10:11:50.524869, 1595.18, 426
2020-03-04 10:11:50.984792, 1595.57, 428
2020-03-04 10:11:51.444800, 1595.472, 427
2020-03-04 10:11:51.904667, 1595.302, 427
2020-03-04 10:11:52.364518, 1595.166, 426
2020-03-04 10:11:52.824301, 1595.586, 428
2020-03-04 10:11:53.284237, 1594.414, 422
2020-03-04 10:11:53.744041, 1593.916, 420
2020-03-04 10:11:54.203942, 1594.94, 425
2020-03-04 10:11:54.663825, 1595.478, 427
