time,pin_voltage,current
2020-03-04 10:45:40.267691, 1589.506, 398
2020-03-04 10:45:40.727596, 1589.048, 395
2020-03-04 10:45:41.187262, 1589.11, 396
2020-03-04 10:45:41.646811, 1588.682, 393
2020-03-04 10:45:42.106566, 1589.184, 396
2020-03-04 10:45:42.566356, 1589.41, 397
2020-03-04 10:45:43.026392, 1589.19, 396
2020-03-04 10:45:43.486388, 1589.32, 397
2020-03-04 10:45:43.946354, 1598.054, 440
2020-03-04 10:45:44.405860, 1592.476, 412
2020-03-04 10:45:44.865518, 1592.534, 413
2020-03-04 10:45:45.325034, 1596.026, 430
2020-03-04 10:45:45.784656, 1590.7, 404
2020-03-04 10:45:46.244384, 1589.09, 395
2020-03-04 10:45:46.704453, 1588.624, 393
2020-03-04 10:45:47.164418, 1588.84, 394
2020-03-04 10:45:47.624275, 1589.074, 395
2020-03-04 10:45:48.084076, 1589.346, 397
