time,pin_voltage,current
2020-04-28 14:39:22.031045, 1580.608, 353
2020-04-28 14:39:22.491393, 1580.614, 353
2020-04-28 14:39:22.951698, 1580.634, 353
2020-04-28 14:39:23.411774, 1580.604, 353
2020-04-28 14:39:23.872154, 1580.596, 353
2020-04-28 14:39:24.332357, 1580.86, 354
2020-04-28 14:39:24.792635, 1581.498, 357
2020-04-28 14:39:25.253057, 1581.132, 356
2020-04-28 14:39:25.713310, 1580.752, 354
2020-04-28 14:39:26.173605, 1580.872, 354
2020-04-28 14:39:26.633896, 1580.924, 355
2020-04-28 14:39:27.093784, 1580.798, 354
2020-04-28 14:39:27.553738, 1580.728, 354
2020-04-28 14:39:28.014230, 1581.116, 356
2020-04-28 14:39:28.474648, 1580.784, 354
2020-04-28 14:39:28.935050, 1580.484, 352
2020-04-28 14:39:29.395496, 1580.762, 354
2020-04-28 14:39:29.855868, 1581.052, 355
2020-04-28 14:39:30.316245, 1581.38, 357
2020-04-28 14:39:30.776601, 1581.294, 356
2020-04-28 14:39:31.236866, 1580.982, 355
2020-04-28 14:39:31.697229, 1580.858, 354
2020-04-28 14:39:32.157482, 1580.204, 351
2020-04-28 14:39:32.617774, 1580.988, 355
2020-04-28 14:39:33.078522, 1580.49, 352
2020-04-28 14:39:33.538701, 1580.66, 353
2020-04-28 14:39:33.998744, 1580.94, 355
2020-04-28 14:39:34.459002, 1580.626, 353
2020-04-28 14:39:34.919380, 1581.466, 357
2020-04-28 14:39:35.379711, 1581.528, 358
2020-04-28 14:39:35.840060, 1581.65, 358
2020-04-28 14:39:36.300446, 1580.838, 354
2020-04-28 14:39:36.760706, 1581.062, 355
2020-04-28 14:39:37.221004, 1580.61, 353
2020-04-28 14:39:37.681344, 1581.144, 356
2020-04-28 14:39:38.141686, 1580.97, 355
2020-04-28 14:39:38.601982, 1580.926, 355
2020-04-28 14:39:39.062322, 1580.692, 353
2020-04-28 14:39:39.522654, 1580.288, 351
2020-04-28 14:39:39.982863, 1581.366, 357
2020-04-28 14:39:40.443183, 1581.51, 358
2020-04-28 14:39:40.903434, 1581.372, 357
2020-04-28 14:39:41.363802, 1580.998, 355
2020-04-28 14:39:41.824117, 1580.866, 354
2020-04-28 14:39:42.284349, 1580.844, 354
2020-04-28 14:39:42.744531, 1580.654, 353
2020-04-28 14:39:43.204664, 1581.078, 355
2020-04-28 14:39:43.664600, 1581.106, 356
2020-04-28 14:39:44.124715, 1580.694, 353
2020-04-28 14:39:44.585025, 1580.936, 355
2020-04-28 14:39:45.045299, 1581.424, 357
2020-04-28 14:39:45.505555, 1582.832, 364
2020-04-28 14:39:45.965929, 1581.582, 358
2020-04-28 14:39:46.426188, 1580.7, 354
2020-04-28 14:39:46.886616, 1580.742, 354
2020-04-28 14:39:47.346932, 1582.096, 360
2020-04-28 14:39:47.807274, 1580.402, 352
2020-04-28 14:39:48.267686, 1580.82, 354
2020-04-28 14:39:48.728065, 1581.532, 358
2020-04-28 14:39:49.188370, 1582.032, 360
2020-04-28 14:39:49.648782, 1581.696, 358
