time,pin_voltage,current
2020-04-28 13:25:02.415878, 1581.434, 357
2020-04-28 13:25:02.875408, 1582.286, 361
2020-04-28 13:25:03.335048, 1580.64, 353
2020-04-28 13:25:03.794600, 1581.958, 360
2020-04-28 13:25:04.254211, 1581.788, 359
2020-04-28 13:25:04.713729, 1591.278, 406
2020-04-28 13:25:05.173311, 1612.312, 512
2020-04-28 13:25:05.632883, 1613.39, 517
2020-04-28 13:25:06.092389, 1613.004, 515
2020-04-28 13:25:06.551921, 1614.184, 521
2020-04-28 13:25:07.011562, 1614.732, 524
2020-04-28 13:25:07.471289, 1615.424, 527
2020-04-28 13:25:07.930520, 1614.776, 524
2020-04-28 13:25:08.390063, 1624.47, 572
2020-04-28 13:25:08.849867, 1613.314, 517
2020-04-28 13:25:09.309383, 1614.59, 523
2020-04-28 13:25:09.768931, 1613.996, 520
2020-04-28 13:25:10.228515, 1614.218, 521
2020-04-28 13:25:10.688119, 1614.144, 521
2020-04-28 13:25:11.147672, 1614.636, 523
2020-04-28 13:25:11.607167, 1624.044, 570
2020-04-28 13:25:12.066799, 1615.07, 525
2020-04-28 13:25:12.526295, 1614.536, 523
2020-04-28 13:25:12.985894, 1614.828, 524
2020-04-28 13:25:13.445458, 1613.718, 519
2020-04-28 13:25:13.905099, 1615.094, 525
2020-04-28 13:25:14.364653, 1614.108, 521
2020-04-28 13:25:14.824193, 1614.97, 525
2020-04-28 13:25:15.283702, 1614.104, 521
2020-04-28 13:25:15.743231, 1614.582, 523
2020-04-28 13:25:16.202768, 1612.986, 515
2020-04-28 13:25:16.662302, 1615.882, 529
2020-04-28 13:25:17.121809, 1615.162, 526
2020-04-28 13:25:17.581392, 1615.742, 529
2020-04-28 13:25:18.040908, 1614.548, 523
2020-04-28 13:25:18.500331, 1623.818, 569
2020-04-28 13:25:18.959525, 1614.638, 523
2020-04-28 13:25:19.418828, 1613.348, 517
2020-04-28 13:25:19.878410, 1614.642, 523
2020-04-28 13:25:20.337915, 1614.532, 523
2020-04-28 13:25:20.797471, 1614.21, 521
2020-04-28 13:25:21.257004, 1614.182, 521
2020-04-28 13:25:21.716533, 1619.404, 547
2020-04-28 13:25:22.176094, 1619.808, 549
2020-04-28 13:25:22.635652, 1615.446, 527
2020-04-28 13:25:23.095187, 1615.052, 525
2020-04-28 13:25:23.554715, 1615.174, 526
2020-04-28 13:25:24.014369, 1614.046, 520
2020-04-28 13:25:24.474005, 1616.036, 530
2020-04-28 13:25:24.933521, 1614.652, 523
2020-04-28 13:25:25.393100, 1623.958, 570
2020-04-28 13:25:25.852624, 1614.74, 524
2020-04-28 13:25:26.312273, 1614.56, 523
2020-04-28 13:25:26.771829, 1615.084, 525
2020-04-28 13:25:27.231370, 1616.268, 531
2020-04-28 13:25:27.690917, 1615.198, 526
2020-04-28 13:25:28.150510, 1615.834, 529
2020-04-28 13:25:28.609738, 1614.664, 523
2020-04-28 13:25:29.069043, 1624.554, 573
2020-04-28 13:25:29.528678, 1614.816, 524
2020-04-28 13:25:29.988185, 1615.606, 528
2020-04-28 13:25:30.447767, 1615.796, 529
2020-04-28 13:25:30.907281, 1615.194, 526
2020-04-28 13:25:31.366815, 1615.114, 526
2020-04-28 13:25:31.826382, 1615.002, 525
2020-04-28 13:25:32.285972, 1618.764, 544
2020-04-28 13:25:32.745465, 1622.358, 562
2020-04-28 13:25:33.205044, 1616.372, 532
2020-04-28 13:25:33.664741, 1615.164, 526
2020-04-28 13:25:34.124222, 1615.45, 527
2020-04-28 13:25:34.583811, 1615.634, 528
2020-04-28 13:25:35.043417, 1615.082, 525
2020-04-28 13:25:35.502891, 1614.97, 525
2020-04-28 13:25:35.962124, 1615.07, 525
2020-04-28 13:25:36.421740, 1614.92, 525
