time,pin_voltage,current
2020-03-04 10:39:02.985840, 1589.03, 395
2020-03-04 10:39:03.445981, 1588.808, 394
2020-03-04 10:39:03.906046, 1588.97, 395
2020-03-04 10:39:04.366094, 1589.012, 395
2020-03-04 10:39:04.825982, 1588.886, 394
2020-03-04 10:39:05.285816, 1588.328, 392
2020-03-04 10:39:05.745812, 1588.976, 395
2020-03-04 10:39:06.205873, 1589.09, 395
2020-03-04 10:39:06.665794, 1606.694, 483
2020-03-04 10:39:07.125672, 1615.094, 525
2020-03-04 10:39:07.585526, 1613.754, 519
2020-03-04 10:39:08.045592, 1614.418, 522
2020-03-04 10:39:08.505507, 1614.206, 521
2020-03-04 10:39:08.965485, 1613.742, 519
2020-03-04 10:39:09.425470, 1614.11, 521
2020-03-04 10:39:09.885469, 1615.388, 527
2020-03-04 10:39:10.345357, 1610.628, 503
2020-03-04 10:39:10.805472, 1613.612, 518
2020-03-04 10:39:11.265039, 1627.762, 589
2020-03-04 10:39:11.725156, 1629.032, 595
2020-03-04 10:39:12.185085, 1626.88, 584
2020-03-04 10:39:12.645032, 1603.792, 469
2020-03-04 10:39:13.105181, 1594.828, 424
2020-03-04 10:39:13.565137, 1596.866, 434
2020-03-04 10:39:14.025150, 1594.312, 422
2020-03-04 10:39:14.484957, 1594.538, 423
2020-03-04 10:39:14.944851, 1594.006, 420
