time,pin_voltage,current
2020-03-04 10:48:49.896743, 1594.74, 424
2020-03-04 10:48:50.357209, 1594.456, 422
2020-03-04 10:48:50.816514, 1590.472, 402
2020-03-04 10:48:51.275902, 1588.776, 394
2020-03-04 10:48:51.735552, 1608.542, 493
2020-03-04 10:48:52.195020, 1596.276, 431
2020-03-04 10:48:52.654236, 1594.528, 423
2020-03-04 10:48:53.113588, 1594.196, 421
2020-03-04 10:48:53.573205, 1599.298, 446
2020-03-04 10:48:54.032732, 1597.886, 439
2020-03-04 10:48:54.492256, 1594.482, 422
2020-03-04 10:48:54.951909, 1593.858, 419
2020-03-04 10:48:55.411541, 1593.928, 420
2020-03-04 10:48:55.870865, 1589.066, 395
2020-03-04 10:48:56.330321, 1589.308, 397
2020-03-04 10:48:56.790023, 1589.912, 400
