time,pin_voltage,current
2020-03-03 15:42:50.450991, 1510.846, 4
2020-03-03 15:42:51.412941, 1510.73, 4
2020-03-03 15:42:52.374718, 1510.604, 3
2020-03-03 15:42:53.336455, 1510.904, 5
2020-03-03 15:42:54.297631, 1511.088, 5
2020-03-03 15:42:55.259081, 1511.004, 5
2020-03-03 15:42:56.220662, 1511.032, 5
2020-03-03 15:42:57.182180, 1511.064, 5
2020-03-03 15:42:58.143865, 1510.642, 3
2020-03-03 15:42:59.105395, 1510.802, 4
2020-03-03 15:43:00.066941, 1510.864, 4
2020-03-03 15:43:01.027946, 1510.674, 3
2020-03-03 15:43:01.989317, 1510.606, 3
2020-03-03 15:43:02.950835, 1514.912, 25
2020-03-03 15:43:03.911868, 1531.4, 107
2020-03-03 15:43:04.872996, 1533.254, 116
2020-03-03 15:43:05.834489, 1529.896, 99
2020-03-03 15:43:06.795890, 1543.054, 165
2020-03-03 15:43:07.757362, 1558.454, 242
2020-03-03 15:43:08.718796, 1581.428, 357
2020-03-03 15:43:09.680203, 1598.526, 443
2020-03-03 15:43:10.641443, 1615.674, 528
2020-03-03 15:43:11.602826, 1603.658, 468
2020-03-03 15:43:12.564058, 1596.524, 433
2020-03-03 15:43:13.525341, 1620.106, 551
2020-03-03 15:43:14.486102, 1585.24, 376
2020-03-03 15:43:15.447413, 1586.32, 382
2020-03-03 15:43:16.408626, 1581.392, 357
2020-03-03 15:43:17.369990, 1579.01, 345
2020-03-03 15:43:18.331270, 1591.152, 406
2020-03-03 15:43:19.292472, 1585.136, 376
2020-03-03 15:43:20.253676, 1585.834, 379
2020-03-03 15:43:21.214811, 1585.41, 377
2020-03-03 15:43:22.175997, 1586.678, 383
2020-03-03 15:43:23.137181, 1585.392, 377
2020-03-03 15:43:24.097889, 1595.612, 428
2020-03-03 15:43:25.059330, 1584.85, 374
2020-03-03 15:43:26.020487, 1585.398, 377
2020-03-03 15:43:26.981651, 1585.0, 375
2020-03-03 15:43:27.942714, 1584.586, 373
2020-03-03 15:43:28.903931, 1584.818, 374
2020-03-03 15:43:29.865071, 1585.098, 375
2020-03-03 15:43:30.826275, 1586.456, 382
2020-03-03 15:43:31.787412, 1585.378, 377
2020-03-03 15:43:32.748464, 1584.796, 374
2020-03-03 15:43:33.709519, 1584.86, 374
2020-03-03 15:43:34.670296, 1584.862, 374
2020-03-03 15:43:35.631559, 1585.056, 375
2020-03-03 15:43:36.592750, 1585.024, 375
2020-03-03 15:43:37.553814, 1584.562, 373
2020-03-03 15:43:38.514967, 1586.134, 381
2020-03-03 15:43:39.476145, 1584.74, 374
2020-03-03 15:43:40.437298, 1585.152, 376
2020-03-03 15:43:41.398430, 1585.528, 378
2020-03-03 15:43:42.359509, 1584.912, 375
2020-03-03 15:43:43.320558, 1584.35, 372
2020-03-03 15:43:44.281156, 1584.916, 375
2020-03-03 15:43:45.242090, 1585.334, 377
2020-03-03 15:43:46.203087, 1584.69, 373
2020-03-03 15:43:47.164144, 1584.864, 374
2020-03-03 15:43:48.125039, 1586.128, 381
2020-03-03 15:43:49.086163, 1585.404, 377
2020-03-03 15:43:50.047189, 1585.398, 377
2020-03-03 15:43:51.008308, 1585.462, 377
2020-03-03 15:43:51.969309, 1596.42, 432
2020-03-03 15:43:52.930205, 1593.29, 416
2020-03-03 15:43:53.890877, 1613.372, 517
2020-03-03 15:43:54.851682, 1606.968, 485
2020-03-03 15:43:55.812724, 1608.054, 490
2020-03-03 15:43:56.773655, 1609.704, 499
2020-03-03 15:43:57.734636, 1610.612, 503
2020-03-03 15:43:58.695527, 1615.986, 530
2020-03-03 15:43:59.656490, 1614.69, 523
2020-03-03 15:44:00.617471, 1612.994, 515
2020-03-03 15:44:01.577851, 1610.46, 502
2020-03-03 15:44:02.538933, 1608.656, 493
2020-03-03 15:44:03.499915, 1607.038, 485
2020-03-03 15:44:04.460394, 1604.524, 473
2020-03-03 15:44:05.421350, 1603.196, 466
2020-03-03 15:44:06.382449, 1606.37, 482
2020-03-03 15:44:07.343401, 1607.74, 489
2020-03-03 15:44:08.304556, 1608.702, 494
2020-03-03 15:44:09.265630, 1610.21, 501
2020-03-03 15:44:10.226653, 1616.038, 530
2020-03-03 15:44:11.187512, 1615.236, 526
2020-03-03 15:44:12.148471, 1611.884, 509
2020-03-03 15:44:13.109470, 1610.678, 503
2020-03-03 15:44:14.069954, 1609.66, 498
2020-03-03 15:44:15.030879, 1608.934, 495
2020-03-03 15:44:15.991795, 1624.126, 571
2020-03-03 15:44:16.952768, 1654.384, 722
2020-03-03 15:44:17.913675, 1636.132, 631
2020-03-03 15:44:18.874698, 1624.45, 572
2020-03-03 15:44:19.835681, 1624.868, 574
2020-03-03 15:44:20.796649, 1649.654, 698
2020-03-03 15:44:21.757611, 1644.404, 672
2020-03-03 15:44:22.718580, 1624.02, 570
2020-03-03 15:44:23.679536, 1630.204, 601
2020-03-03 15:44:24.639966, 1653.62, 718
2020-03-03 15:44:25.601053, 1641.958, 660
2020-03-03 15:44:26.562060, 1623.838, 569
2020-03-03 15:44:27.522984, 1624.242, 571
2020-03-03 15:44:28.483937, 1642.04, 660
2020-03-03 15:44:29.444855, 1656.564, 733
2020-03-03 15:44:30.405793, 1633.244, 616
2020-03-03 15:44:31.366647, 1624.724, 574
2020-03-03 15:44:32.327546, 1629.518, 598
2020-03-03 15:44:33.288510, 1651.414, 707
2020-03-03 15:44:34.249053, 1642.812, 664
2020-03-03 15:44:35.210119, 1624.78, 574
2020-03-03 15:44:36.170961, 1624.12, 571
2020-03-03 15:44:37.132215, 1640.474, 652
2020-03-03 15:44:38.093663, 1656.168, 731
2020-03-03 15:44:39.054959, 1634.278, 621
2020-03-03 15:44:40.016323, 1624.312, 572
2020-03-03 15:44:40.977684, 1628.694, 593
2020-03-03 15:44:41.939204, 1624.39, 572
2020-03-03 15:44:42.900620, 1623.934, 570
2020-03-03 15:44:43.861769, 1623.858, 569
2020-03-03 15:44:44.822643, 1624.808, 574
2020-03-03 15:44:45.783935, 1624.558, 573
2020-03-03 15:44:46.745224, 1622.912, 565
2020-03-03 15:44:47.706417, 1624.322, 572
2020-03-03 15:44:48.667651, 1624.748, 574
2020-03-03 15:44:49.628897, 1623.14, 566
2020-03-03 15:44:50.590222, 1625.59, 578
2020-03-03 15:44:51.551392, 1625.996, 580
2020-03-03 15:44:52.512717, 1623.856, 569
2020-03-03 15:44:53.474001, 1625.524, 578
2020-03-03 15:44:54.434697, 1625.89, 579
2020-03-03 15:44:55.395834, 1624.734, 574
2020-03-03 15:44:56.357114, 1624.506, 573
