duration,nb_img
1.347384,1
2.320718,2
3.333102,3
5.355657,5
7.378997,7
10.413357,10
15.472529,15
20.537934,20
30.645971,30
50.870095,50
1.346522,1
2.320058,2
3.332725,3
5.355481,5
7.383017,7
10.416841,10
15.470158,15
20.523325,20
31.338397,30
50.867015,50
1.346454,1
2.315106,2
3.327984,3
5.351974,5
7.376447,7
10.412814,10
15.46424,15
20.538207,20
30.634541,30
50.892981,50
1.345837,1
2.321095,2
3.333503,3
5.355615,5
7.382887,7
10.422499,10
15.475895,15
20.731523,20
31.384329,30
50.852622,50
1.346929,1
2.322018,2
3.332923,3
5.358673,5
7.385246,7
10.42408,10
15.485125,15
20.525099,20
30.864856,30
51.109167,50
1.346865,1
2.316643,2
3.329595,3
5.35135,5
7.375273,7
10.408992,10
15.466146,15
20.525384,20
30.636585,30
50.867974,50
1.345067,1
2.31785,2
3.32799,3
5.351025,5
7.374838,7
10.411508,10
16.267101,15
20.527419,20
30.635564,30
50.866656,50
1.345228,1
2.315608,2
3.328481,3
5.352128,5
7.37578,7
10.414542,10
15.464936,15
20.523066,20
30.64065,30
51.661957,50
1.347859,1
2.332015,2
3.333595,3
5.357452,5
7.385104,7
10.420609,10
15.486731,15
20.545963,20
30.863325,30
50.898246,50
1.345879,1
2.319313,2
3.333196,3
5.356359,5
7.379628,7
10.413541,10
15.47838,15
20.537695,20
30.657554,30
50.917949,50
1.346728,1
2.318124,2
3.328207,3
5.350791,5
7.377769,7
10.415925,10
15.480424,15
20.520417,20
30.655352,30
52.678827,50
1.345054,1
2.319556,2
3.329903,3
5.352317,5
7.374481,7
10.510928,10
15.477579,15
20.539637,20
30.661596,30
50.91162,50
1.347272,1
2.318595,2
3.33444,3
5.356152,5
7.379726,7
10.413103,10
15.474121,15
22.336089,20
30.664272,30
50.905133,50
1.34873,1
2.322749,2
3.336459,3
4.349508,4
5.364299,5
6.375816,6
7.379293,7
8.855642,8
9.412606,9
10.423754,10
12.031917,11
12.453845,12
13.45311,13
14.455102,14
15.466111,15
16.479637,16
17.491824,17
18.499899,18
19.517184,19
21.207233,20
21.654282,21
22.573746,22
23.589055,23
25.846959,24
26.181991,25
27.85367,26
28.159969,27
28.614068,28
29.623054,29
30.738418,30
31.744631,31
32.657027,32
33.668254,33
34.679118,34
35.692518,35
38.036701,36
38.373908,37
40.976091,38
40.51098,39
41.100669,40
