duration,pixels
5.473421,307200
5.463544,480000
5.470916,691200
5.475475,786432
5.505651,1228800
5.529378,1470000
5.555972,1555200
5.902632,1920000
5.838769,2583552
6.049557,2764800
6.222945,3145728
6.475368,5038848
5.61224,307200
5.724362,480000
5.470992,691200
5.476188,786432
5.507714,1228800
5.52442,1470000
6.919632,1555200
5.571822,1920000
5.844268,2583552
5.89657,2764800
5.957254,3145728
6.477544,5038848
7.726587,307200
5.46113,480000
5.47146,691200
5.476009,786432
5.508636,1228800
5.819685,1470000
5.553888,1555200
5.571251,1920000
6.144253,2583552
6.4324,2764800
6.128078,3145728
6.479729,5038848
5.519668,307200
5.462748,480000
5.473511,691200
5.476878,786432
5.50631,1228800
5.528701,1470000
5.556956,1555200
5.571334,1920000
5.844678,2583552
11.43863,2764800
5.961673,3145728
6.47764,5038848
5.511018,307200
5.461025,480000
5.471518,691200
5.476726,786432
5.508292,1228800
8.019662,1470000
5.551595,1555200
5.576216,1920000
5.840398,2583552
6.854918,2764800
5.95744,3145728
6.47704,5038848
5.512503,307200
5.464343,480000
5.471315,691200
5.475726,786432
5.508711,1228800
5.526909,1470000
5.554409,1555200
5.57319,1920000
5.842619,2583552
5.894417,2764800
5.96212,3145728
7.829179,5038848
